word;classes;pronoun;noun;adjective;adverb;verb;article;preposition;conjunction;interjection;other;title_counter;lyrics_counter
employment;noun;False;True;False;False;False;False;False;False;False;False;0;0
empty;adjective, verb, noun;False;True;True;False;True;False;False;False;False;False;0;0
encounter;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
end;noun, verb, adjective;False;True;True;False;True;False;False;False;False;False;1;27
endangered;adjective;False;False;True;False;False;False;False;False;False;False;0;0
enemy;noun;False;True;False;False;False;False;False;False;False;False;0;0
energy;noun;False;True;False;False;False;False;False;False;False;False;0;0
engaged;adjective;False;False;True;False;False;False;False;False;False;False;0;1
engine;noun;False;True;False;False;False;False;False;False;False;False;0;1
engineer;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
English;adjective, noun;False;True;True;False;False;False;False;False;False;False;0;12
enjoyment;noun;False;True;False;False;False;False;False;False;False;False;0;0
enormous;adjective;False;False;True;False;False;False;False;False;False;False;0;0
entertainment;noun;False;True;False;False;False;False;False;False;False;False;0;0
enthusiasm;noun;False;True;False;False;False;False;False;False;False;False;0;0
enthusiastic;adjective;False;False;True;False;False;False;False;False;False;False;0;0
entire;adjective;False;False;True;False;False;False;False;False;False;False;0;0
entrance;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
entry;noun;False;True;False;False;False;False;False;False;False;False;0;0
envelope;noun;False;True;False;False;False;False;False;False;False;False;0;0
environment;noun;False;True;False;False;False;False;False;False;False;False;0;0
environmentalist;noun;False;True;False;False;False;False;False;False;False;False;0;0
envy;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
equal;adjective, noun, verb;False;True;True;False;True;False;False;False;False;False;0;2
equipment;noun;False;True;False;False;False;False;False;False;False;False;0;0
equivalent;adjective, noun;False;True;True;False;False;False;False;False;False;False;0;0
erosion;noun;False;True;False;False;False;False;False;False;False;False;0;0
error;noun;False;True;False;False;False;False;False;False;False;False;0;0
escape;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
essay;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
essential;adjective, noun;False;True;True;False;False;False;False;False;False;False;0;0
estate;noun;False;True;False;False;False;False;False;False;False;False;0;0
estimate;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
ethnic;adjective, noun;False;True;True;False;False;False;False;False;False;False;0;0
evening;noun;False;True;False;False;False;False;False;False;False;False;0;10
event;noun;False;True;False;False;False;False;False;False;False;False;0;0
every;adjective;False;False;True;False;False;False;False;False;False;False;1;53
everyday;adjective;False;False;True;False;False;False;False;False;False;False;0;2
evidence;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
evident;adjective;False;False;True;False;False;False;False;False;False;False;0;0
evil;adjective, noun;False;True;True;False;False;False;False;False;False;False;0;0
ex;noun;False;True;False;False;False;False;False;False;False;False;0;0
exact;adjective, verb;False;False;True;False;True;False;False;False;False;False;0;0
exam;noun;False;True;False;False;False;False;False;False;False;False;0;0
examination;noun;False;True;False;False;False;False;False;False;False;False;0;0
example;noun;False;True;False;False;False;False;False;False;False;False;0;1
excellent;adjective;False;False;True;False;False;False;False;False;False;False;0;0
exception;noun;False;True;False;False;False;False;False;False;False;False;0;0
excess;noun, adjective;False;True;True;False;False;False;False;False;False;False;0;0
exchange;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
excitement;noun;False;True;False;False;False;False;False;False;False;False;0;0
excuse;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
executive;noun, adjective;False;True;True;False;False;False;False;False;False;False;0;0
exercise;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
exploit;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
extinct;adjective;False;False;True;False;False;False;False;False;False;False;0;0
extinction;noun;False;True;False;False;False;False;False;False;False;False;0;0
extroverted;noun;False;True;False;False;False;False;False;False;False;False;0;0
eyebrow;noun;False;True;False;False;False;False;False;False;False;False;0;0
eyelash;noun;False;True;False;False;False;False;False;False;False;False;0;0
eyelid;noun;False;True;False;False;False;False;False;False;False;False;0;0
fabric;noun;False;True;False;False;False;False;False;False;False;False;0;0
