word;classes;pronoun;noun;adjective;adverb;verb;article;preposition;conjunction;interjection;other
oh;interjection, noun;False;True;False;False;False;False;False;False;True;False
oil;noun, verb;False;True;False;False;True;False;False;False;False;False
OK;adverb, adjective, verb, noun, abbreviation;False;True;True;True;False;False;False;False;False;False
old;adjective, noun;False;True;True;False;False;False;False;False;False;False
old-fashioned;adjective;False;False;True;False;False;False;False;False;False;False
on;preposition, adverb, adjective;False;False;True;True;False;False;True;False;False;False
once;adverb, noun, conjunction;False;True;False;True;False;False;False;True;False;False
one;noun, pronoun, adjective;True;False;True;False;False;False;False;False;False;False
one-way;adjective;False;False;True;False;False;False;False;False;False;False
oneself;pronoun;True;False;False;False;False;False;False;False;False;True
only;adjective, adverb, conjunction;False;False;True;True;False;False;False;True;False;False
onto;preposition;False;False;False;False;False;False;True;False;False;False
open;adjective, verb, noun;False;True;True;False;True;False;False;False;False;False
